City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Tancheng,CN,2022-07-14 14:06:46,27.4375,115.4976,84.07,72,100,1.19
129,Upata,VE,2022-07-14 14:06:47,8.0086,-62.3989,80.19,69,41,6.22
130,Sestri Levante,IT,2022-07-14 14:06:47,44.2732,9.3968,88.77,69,5,5.99
131,Necochea,AR,2022-07-14 14:06:47,-38.5473,-58.7368,51.13,64,100,12.24
132,Yumen,CN,2022-07-14 14:06:48,40.2833,97.2,66.83,60,100,7.2
133,Stony Mountain,CA,2022-07-14 14:06:48,50.0864,-97.2196,68.83,79,100,13.13
134,Tuatapere,NZ,2022-07-14 14:06:48,-46.1333,167.6833,39.88,90,92,2.06
135,Bairnsdale,AU,2022-07-14 14:06:48,-37.8333,147.6167,45.59,75,94,5.35
136,Alvorada,BR,2022-07-14 14:06:49,-12.48,-49.1247,90.37,27,28,13.62
137,Namalenga,TZ,2022-07-14 14:06:49,-10.95,39.1,78.91,42,81,3.15
138,Qaqortoq,GL,2022-07-14 14:06:49,60.7167,-46.0333,44.24,97,100,6.53
139,San Vicente,AR,2022-07-14 14:07:50,-26.6167,-54.1333,64.78,85,92,7.49
140,Bredasdorp,ZA,2022-07-14 14:04:00,-34.5322,20.0403,60.22,64,98,10.65
141,San Patricio,US,2022-07-14 14:07:50,28.017,-97.5169,87.69,65,3,4.03
142,Tsumeb,NA,2022-07-14 14:07:51,-19.2333,17.7167,75.54,18,0,14.36
143,Otradnoye,RU,2022-07-14 14:07:51,59.7775,30.8181,67.03,72,77,8.59
144,Bonfim,BR,2022-07-14 14:07:51,3.0833,-59.95,78.15,82,99,3.22
145,Mittagong,AU,2022-07-14 14:04:04,-34.45,150.45,41.2,97,16,3.29
146,Bakchar,RU,2022-07-14 14:07:52,57.0186,82.0711,58.73,74,100,5.14
147,San Andres,CO,2022-07-14 14:07:52,12.5847,-81.7006,84.22,79,75,13.8
148,Talara,PE,2022-07-14 14:07:52,-4.5772,-81.2719,66.96,72,0,18.21
149,Punta Arenas,CL,2022-07-14 14:03:56,-53.15,-70.9167,35.71,80,75,9.22
150,Pozo Colorado,PY,2022-07-14 14:07:53,-23.4923,-58.7972,85.91,34,24,17.54
151,General Salgado,BR,2022-07-14 14:07:53,-20.6483,-50.3606,83.98,27,33,17.25
152,Ust-Kut,RU,2022-07-14 14:07:53,56.7938,105.7672,54.05,98,100,1.45
