,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Padang,ID,76.71,overcast clouds,-0.9492,100.3543,Mercure Padang
425,Barcelos,PT,84.92,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
427,Hirara,JP,84.65,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
428,Erattupetta,IN,75.33,overcast clouds,9.7,76.7833,White Castle Residency
431,San Ciro De Acosta,MX,84.42,broken clouds,21.6333,-99.8167,Hotel Maria Isabel
434,Sao Joao Batista,BR,77.04,overcast clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
440,Sur,OM,87.17,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
442,Abhar,IR,70.63,clear sky,36.1468,49.218,Hotel Got7
443,Carballo,ES,70.02,broken clouds,43.213,-8.691,Pazo do Souto
444,Balkhash,KZ,78.08,clear sky,46.843999999999994,74.9804,Family
445,Bubaque,GW,81.45,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
449,Mikhaylovka,RU,77.79,overcast clouds,50.06,43.2379,5 Komnat
452,Chumphon,TH,72.1,overcast clouds,10.3333,98.8333,สกาน จ๋า.
456,Srikakulam,IN,78.24,very heavy rain,18.3,83.9,Micro Systems
459,Dong Hoi,VN,81.46,overcast clouds,17.4833,106.6,Nam Long Hotel
460,Gaya,IN,88.41,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
462,Palmer,US,82.51,broken clouds,42.1584,-72.3287,Wedgewood Motel
463,Kutum,SD,82.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
464,Phan Thiet,VN,77.59,broken clouds,10.9333,108.1,Hotel Saigon-PT
466,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
470,Haverfordwest,GB,71.19,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
471,Watertown,US,87.98,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
473,Pavlodolskaya,RU,77.99,clear sky,43.7192,44.4781,
477,La Grande,US,89.02,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
479,Afua,BR,81.45,overcast clouds,-0.1567,-50.3867,Hotel Dias
480,Requena,ES,78.51,clear sky,39.4883,-1.1004,Hotel Avenida
481,Bria,CF,70.83,light rain,6.5423,21.9863,WFP Guesthouse
483,Chaska,US,88.25,clear sky,44.7894,-93.6022,Super 8 by Wyndham Chaska
485,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
486,Merta,IN,84.65,broken clouds,26.65,74.0333,V Resorts Ganthiya
487,Cotonou,BJ,76.68,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
489,Dingle,PH,75.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
490,Tenenkou,ML,89.82,overcast clouds,14.4572,-4.9169,
491,Nouna,BF,83.26,light rain,12.7333,-3.8667,Sabunyuma So
492,Fuling,CN,80.47,broken clouds,29.7022,107.3919,Yingbin Hostel
493,Santa Rosalia,MX,88.63,broken clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
495,Caravelas,BR,76.12,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
496,Korla,CN,74.37,clear sky,41.7597,86.1469,Gulisitan Hotel
498,Kaka,TM,88.54,clear sky,37.3482,59.6143,
501,Takoradi,GH,75.67,overcast clouds,4.8845,-1.7554,Raybow International Hotel
503,Aksu,CN,78.42,clear sky,41.1231,80.2644,Pudong Holiday Hotel
504,Dagana,MR,85.15,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
505,Bonfim,BR,86.49,scattered clouds,3.0833,-59.95,
506,Tabou,CI,75.7,overcast clouds,4.423,-7.3528,hotêl doufoulougou
507,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
508,Fenton,US,81.41,overcast clouds,42.7978,-83.7049,Fairfield Inn & Suites by Marriott Flint Fenton
