City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Fujin,CN,2022-07-16 19:12:51,47.26,132.0322,63.12,99,100,6.78,overcast clouds
122,Tahe,CN,2022-07-16 19:12:52,52.3333,124.7333,61.79,96,32,0.81,scattered clouds
123,Bathsheba,BB,2022-07-16 19:12:52,13.2167,-59.5167,79.05,96,75,20.71,broken clouds
124,Jintur,IN,2022-07-16 19:12:52,19.6167,76.7,78.55,79,100,14.0,overcast clouds
125,Srednekolymsk,RU,2022-07-16 19:12:53,67.45,153.6833,51.62,74,100,5.5,overcast clouds
126,Pevek,RU,2022-07-16 19:12:53,69.7008,170.3133,34.5,94,100,3.67,overcast clouds
127,Rabo De Peixe,PT,2022-07-16 19:12:53,37.8,-25.5833,71.11,78,40,8.05,scattered clouds
128,Xuddur,SO,2022-07-16 19:12:54,4.1213,43.8894,74.37,68,6,21.5,clear sky
129,Szigetvar,HU,2022-07-16 19:12:54,46.0486,17.8055,77.95,41,7,9.71,clear sky
130,Barvinkove,UA,2022-07-16 19:12:55,48.9097,37.0205,66.2,82,74,8.88,light rain
131,Ust-Kulom,RU,2022-07-16 19:12:55,61.6864,53.6902,63.64,81,65,5.12,broken clouds
132,Karakol,KG,2022-07-16 19:12:55,42.4907,78.3936,59.63,33,2,4.47,clear sky
133,Kaitangata,NZ,2022-07-16 19:12:56,-46.2817,169.8464,37.89,72,100,7.58,overcast clouds
134,Tasiilaq,GL,2022-07-16 19:13:56,65.6145,-37.6368,50.16,65,95,3.0,overcast clouds
135,Nome,US,2022-07-16 19:13:56,64.5011,-165.4064,57.16,62,0,8.05,clear sky
136,Zhangjiakou,CN,2022-07-16 19:13:56,40.81,114.8794,71.76,42,76,6.76,broken clouds
137,Kushima,JP,2022-07-16 19:13:57,31.4583,131.2333,75.34,91,100,5.12,overcast clouds
138,Batemans Bay,AU,2022-07-16 19:13:57,-35.7167,150.1833,51.1,50,1,11.83,clear sky
139,Matane,CA,2022-07-16 19:13:57,48.8286,-67.522,71.1,52,52,13.15,broken clouds
140,New Norfolk,AU,2022-07-16 19:13:58,-42.7826,147.0587,49.91,85,100,1.01,overcast clouds
141,Faanui,PF,2022-07-16 19:13:58,-16.4833,-151.75,76.68,69,89,24.96,light rain
142,Kirishi,RU,2022-07-16 19:13:58,59.4471,32.0205,52.77,85,18,4.45,few clouds
143,Rockwall,US,2022-07-16 19:11:41,32.9001,-96.4003,100.35,45,0,9.22,clear sky
144,Cidreira,BR,2022-07-16 19:13:59,-30.1811,-50.2056,67.3,87,71,6.49,light rain
145,Hualmay,PE,2022-07-16 19:13:59,-11.0964,-77.6139,64.44,75,42,13.18,scattered clouds
146,Saint-Philippe,RE,2022-07-16 19:13:59,-21.3585,55.7679,69.39,76,29,13.24,scattered clouds
147,Losinyy,RU,2022-07-16 19:14:00,57.1386,61.0666,73.15,97,66,5.93,broken clouds
148,Toora-Khem,RU,2022-07-16 19:14:00,52.4675,96.11,53.17,73,100,1.88,overcast clouds
149,Kodiak,US,2022-07-16 19:14:00,57.79,-152.4072,56.71,88,100,6.91,overcast clouds
150,Dauriya,RU,2022-07-16 19:14:01,49.9333,116.8667,62.56,98,100,2.73,overcast clouds
151,Vao,NC,2022-07-16 19:14:01,-22.6667,167.4833,68.86,59,4,24.23,clear sky
152,Clyde River,CA,2022-07-16 19:14:01,70.4692,-68.5914,48.22,50,99,8.66,overcast clouds
153,Katsuura,JP,2022-07-16 19:14:02,35.1333,140.3,74.34,93,100,19.22,light rain
154,Qorveh,IR,2022-07-16 19:14:02,35.1664,47.8045,74.12,16,0,11.12,clear sky
155,Nanortalik,GL,2022-07-16 19:14:02,60.1432,-45.2371,43.9,79,58,4.52,broken clouds
156,Rawson,AR,2022-07-16 19:14:03,-43.3002,-65.1023,43.36,53,11,7.96,few clouds
157,Bela,IN,2022-07-16 19:14:03,25.9333,81.9833,93.96,44,1,15.84,clear sky
158,Verkhoyansk,RU,2022-07-16 19:14:03,67.5447,133.385,53.17,79,100,4.47,light rain
159,Totma,RU,2022-07-16 19:14:04,59.9747,42.7642,55.67,85,19,4.88,few clouds
160,Oranjestad,AW,2022-07-16 19:14:04,12.524,-70.027,85.95,70,40,23.02,scattered clouds
161,Sena Madureira,BR,2022-07-16 19:14:04,-9.0656,-68.6569,87.1,57,100,1.81,overcast clouds
162,Tuktoyaktuk,CA,2022-07-16 19:14:05,69.4541,-133.0374,55.58,51,91,16.42,overcast clouds
163,Smithers,CA,2022-07-16 19:14:05,54.7804,-127.1743,63.28,50,36,3.51,scattered clouds
164,Elat,IL,2022-07-16 19:14:05,29.5581,34.9482,84.15,49,0,13.78,clear sky
165,Kijang,KR,2022-07-16 19:14:06,35.2442,129.2139,75.27,77,98,5.35,overcast clouds
166,Canavieiras,BR,2022-07-16 19:14:06,-15.675,-38.9472,76.42,66,0,5.35,clear sky
167,Truckee,US,2022-07-16 19:13:05,39.328,-120.1833,94.71,22,0,8.05,clear sky
168,Riyadh,SA,2022-07-16 19:09:31,24.6877,46.7219,95.14,9,96,11.01,overcast clouds
169,Akdepe,TM,2022-07-16 19:14:06,42.0551,59.3788,90.5,16,0,9.28,clear sky
170,Kasongo-Lunda,CD,2022-07-16 19:14:07,-6.4667,16.8167,77.83,30,15,2.57,few clouds
171,Ostrovnoy,RU,2022-07-16 19:14:07,68.0531,39.5131,57.33,94,100,1.95,light rain
172,Gamba,GA,2022-07-16 19:14:07,-2.65,10.0,70.45,90,100,6.93,overcast clouds
173,Pital,CO,2022-07-16 19:14:08,2.2665,-75.8044,84.7,48,34,3.31,scattered clouds
174,Kapaa,US,2022-07-16 19:14:08,22.0752,-159.319,80.58,82,100,14.97,overcast clouds
175,Nokaneng,BW,2022-07-16 19:11:17,-19.6667,22.2667,57.6,38,0,8.41,clear sky
176,Cape Town,ZA,2022-07-16 19:09:53,-33.9258,18.4232,69.39,50,100,3.0,overcast clouds
